accs,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epochs_trained
0.3566,1112.0,518.0,466.0,297.0,776.0,1330.0,1397.0,1178.0,937.0,1125.0,20
0.4279,1112.0,518.0,466.0,297.0,776.0,1330.0,1397.0,1178.0,937.0,1125.0,30
0.4517,1112.0,518.0,466.0,297.0,776.0,1330.0,1397.0,1178.0,937.0,1125.0,40
0.4794,1112.0,518.0,466.0,297.0,776.0,1330.0,1397.0,1178.0,937.0,1125.0,50
0.4937,1112.0,518.0,466.0,297.0,776.0,1330.0,1397.0,1178.0,937.0,1125.0,60
0.2313,1126.0,1048.0,1202.0,363.0,832.0,481.0,284.0,299.0,1446.0,1017.0,10
0.3104,1126.0,1048.0,1202.0,363.0,832.0,481.0,284.0,299.0,1446.0,1017.0,20
0.3921,1126.0,1048.0,1202.0,363.0,832.0,481.0,284.0,299.0,1446.0,1017.0,30
0.4299,1126.0,1048.0,1202.0,363.0,832.0,481.0,284.0,299.0,1446.0,1017.0,40
0.4215,1126.0,1048.0,1202.0,363.0,832.0,481.0,284.0,299.0,1446.0,1017.0,50
0.4641,1126.0,1048.0,1202.0,363.0,832.0,481.0,284.0,299.0,1446.0,1017.0,60
0.144,367.0,589.0,311.0,1240.0,1333.0,821.0,1341.0,398.0,270.0,297.0,10
0.2814,367.0,589.0,311.0,1240.0,1333.0,821.0,1341.0,398.0,270.0,297.0,20
0.3681,367.0,589.0,311.0,1240.0,1333.0,821.0,1341.0,398.0,270.0,297.0,30
0.4068,367.0,589.0,311.0,1240.0,1333.0,821.0,1341.0,398.0,270.0,297.0,40
0.4215,367.0,589.0,311.0,1240.0,1333.0,821.0,1341.0,398.0,270.0,297.0,50
0.4449,367.0,589.0,311.0,1240.0,1333.0,821.0,1341.0,398.0,270.0,297.0,60
0.2879,684.0,1190.0,515.0,1160.0,1226.0,1188.0,1318.0,434.0,681.0,1117.0,10
0.3672,684.0,1190.0,515.0,1160.0,1226.0,1188.0,1318.0,434.0,681.0,1117.0,20
0.4133,684.0,1190.0,515.0,1160.0,1226.0,1188.0,1318.0,434.0,681.0,1117.0,30
0.4473,684.0,1190.0,515.0,1160.0,1226.0,1188.0,1318.0,434.0,681.0,1117.0,40
0.4837,684.0,1190.0,515.0,1160.0,1226.0,1188.0,1318.0,434.0,681.0,1117.0,50
0.5017,684.0,1190.0,515.0,1160.0,1226.0,1188.0,1318.0,434.0,681.0,1117.0,60
0.225,1484.0,167.0,357.0,239.0,554.0,932.0,1157.0,272.0,394.0,1230.0,10
0.2772,1484.0,167.0,357.0,239.0,554.0,932.0,1157.0,272.0,394.0,1230.0,20
0.2873,1484.0,167.0,357.0,239.0,554.0,932.0,1157.0,272.0,394.0,1230.0,30
0.3252,1484.0,167.0,357.0,239.0,554.0,932.0,1157.0,272.0,394.0,1230.0,40
0.3637,1484.0,167.0,357.0,239.0,554.0,932.0,1157.0,272.0,394.0,1230.0,50
0.3569,1484.0,167.0,357.0,239.0,554.0,932.0,1157.0,272.0,394.0,1230.0,60
0.2081,313.0,1492.0,1377.0,163.0,139.0,1468.0,31.0,421.0,739.0,1096.0,10
0.2836,313.0,1492.0,1377.0,163.0,139.0,1468.0,31.0,421.0,739.0,1096.0,20
0.3458,313.0,1492.0,1377.0,163.0,139.0,1468.0,31.0,421.0,739.0,1096.0,30
0.3743,313.0,1492.0,1377.0,163.0,139.0,1468.0,31.0,421.0,739.0,1096.0,40
0.382,313.0,1492.0,1377.0,163.0,139.0,1468.0,31.0,421.0,739.0,1096.0,50
0.4033,313.0,1492.0,1377.0,163.0,139.0,1468.0,31.0,421.0,739.0,1096.0,60
0.2327,896.0,116.0,145.0,1405.0,31.0,272.0,477.0,1463.0,1353.0,403.0,10
0.2957,896.0,116.0,145.0,1405.0,31.0,272.0,477.0,1463.0,1353.0,403.0,20
0.321,896.0,116.0,145.0,1405.0,31.0,272.0,477.0,1463.0,1353.0,403.0,30
0.3514,896.0,116.0,145.0,1405.0,31.0,272.0,477.0,1463.0,1353.0,403.0,40
0.3799,896.0,116.0,145.0,1405.0,31.0,272.0,477.0,1463.0,1353.0,403.0,50
0.3882,896.0,116.0,145.0,1405.0,31.0,272.0,477.0,1463.0,1353.0,403.0,60
0.1731,391.0,91.0,1495.0,746.0,1020.0,1031.0,1180.0,1083.0,476.0,570.0,10
